,gid,pid,fgxp,dist,make,season,postseason,away,stadium,temp,humidity,wind-spd,cond,surface,player id,player
2593,4081,667829,FG,49,1,2015,0,1,Levi's Stadium,75,40,8,Mostly Sunny,Grass,SH-0400,Steven Hauschka
2594,4081,667888,FG,35,1,2015,0,0,Levi's Stadium,75,40,8,Mostly Sunny,Grass,PD-0200,Phil Dawson
2595,4081,667901,FG,46,1,2015,0,1,Levi's Stadium,75,40,8,Mostly Sunny,Grass,SH-0400,Steven Hauschka
2596,4082,667952,FG,31,1,2015,0,1,Wembley Stadium,48,74,2,Mostly Sunny,Grass,DC-0500,Dan Carpenter
2597,4082,668019,FG,38,1,2015,0,1,Wembley Stadium,48,74,2,Mostly Sunny,Grass,DC-0500,Dan Carpenter
2598,4082,668055,FG,26,1,2015,0,1,Wembley Stadium,48,74,2,Mostly Sunny,Grass,DC-0500,Dan Carpenter
2599,4083,668138,FG,22,1,2015,0,1,FedEx Field,64,87,5,Sunny,Grass,CB-0700,Connor Barth
2600,4083,668233,FG,45,1,2015,0,1,FedEx Field,64,87,5,Sunny,Grass,CB-0700,Connor Barth
2601,4083,668246,FG,35,1,2015,0,0,FedEx Field,64,87,5,Sunny,Grass,DH-3970,Dustin Hopkins
2602,4083,668258,FG,21,1,2015,0,1,FedEx Field,64,87,5,Sunny,Grass,CB-0700,Connor Barth
2603,4084,668343,FG,27,1,2015,0,1,LP Field,59,95,8,Cloudy,Grass,MB-4600,Matt Bryant
2604,4084,668419,FG,47,0,2015,0,1,LP Field,59,95,8,Cloudy,Grass,MB-4600,Matt Bryant
2605,4086,668645,FG,37,1,2015,0,1,Ford Field,-999,-999,-999,Dome,FieldTurf,BW-0350,Blair Walsh
2606,4086,668662,FG,53,1,2015,0,1,Ford Field,-999,-999,-999,Dome,FieldTurf,BW-0350,Blair Walsh
2607,4086,668679,FG,52,1,2015,0,0,Ford Field,-999,-999,-999,Dome,FieldTurf,MP-2100,Matt Prater
2608,4086,668701,FG,51,1,2015,0,1,Ford Field,-999,-999,-999,Dome,FieldTurf,BW-0350,Blair Walsh
2609,4086,668722,FG,35,1,2015,0,1,Ford Field,-999,-999,-999,Dome,FieldTurf,BW-0350,Blair Walsh
